date,confirmed
20211015,4
20211016,5
20211017,6
20211018,5
20211019,7
20211020,6
20211021,2
20211022,3
20211023,4
20211024,1
20211025,2
20211026,2
20211027,0
20211028,3
20211029,5
20211030,9
20211031,9
20211101,5
20211102,5
20211103,3
20211104,3
20211105,3
20211106,3
20211107,6
20211108,2
20211109,3
20211110,4
20211111,6
20211112,4
20211113,5
20211114,5
20211115,2
20211116,1
20211117,6
20211118,7
20211119,6
20211120,3
20211121,5
20211122,2
20211123,5
20211124,4
20211125,4
20211126,5
20211127,5
20211128,6
20211129,0
20211130,3
20211201,3
20211202,8
20211203,6
20211204,4
20211205,5
20211206,5
20211207,9
20211208,2
20211209,1
20211210,6
20211211,8
20211212,5
20211213,6
20211214,3
20211215,2
20211216,3
20211217,13
20211218,14
20211219,16
20211220,5
20211221,5
20211222,11
20211223,8
20211224,19
20211225,18
20211226,13
20211227,8
20211228,11
20211229,17
20211230,9
20211231,10
20220101,18
20220102,26
20220103,29
20220104,17
20220105,20
20220106,24
20220107,32
20220108,30
20220109,26
20220110,27
20220111,20
20220112,31
20220113,32
20220114,43
20220115,24
20220116,35
20220117,17
20220118,15
20220119,14
20220120,28
20220121,22
20220122,13
20220123,22
20220124,11
20220125,10
20220126,21
20220127,7
20220128,10
20220129,10
20220130,10
20220131,18
20220201,18
20220202,9
20220203,7
20220204,7
20220205,12
20220206,8
20220207,15
20220208,9
20220209,8
20220210,12
20220211,7
20220212,9
20220213,8
20220214,6
20220215,13
20220216,9
20220217,13
20220218,18
20220219,23
20220220,27
20220221,32
20220222,49
20220223,24
20220224,59
20220225,55
20220226,43
20220227,45
20220228,40
20220301,38
20220302,42
20220303,45
20220304,27
20220305,25
20220306,35
20220307,40
20220308,29
20220309,46
20220310,43
20220311,27
20220312,14
20220313,57
20220314,21
20220315,15
20220316,23
20220317,67
20220318,12
20220319,22
20220320,41
20220321,39
20220322,14
20220323,14
20220324,12
20220325,47
20220326,53
20220327,60
20220328,107
20220329,329
20220330,358
20220331,365
20220401,262
20220402,444
20220403,433
20220404,271
20220405,315
20220406,329
20220407,828
20220408,1017
20220409,1015
20220410,917
20220411,998
20220412,1190
20220413,2573
20220414,3200
20220415,3594
20220416,3240
20220417,2420
20220418,3084
20220419,2495
20220420,2635
20220421,1931
20220422,2736
20220423,1401
20220424,2472
20220425,1661
20220426,1606
20220427,1292
20220428,5489
20220429,1250
20220430,789
20220501,729
20220502,274
20220503,263
20220504,263
20220505,245
20220506,253
20220507,217
20220508,324
20220509,234
20220510,229
20220511,144
20220512,227
20220513,195
20220514,168
20220515,70
20220516,77
20220517,97
20220518,83
20220519,90
20220520,84
20220521,53
20220522,56
